,date,round_nr,throw_nr,dart_nr,prefix,score,value
132,2021-05-10,2,12,1,D,5,10
133,2021-05-10,2,12,2,S,20,20
134,2021-05-10,2,12,3,D,5,10
135,2021-05-10,2,13,1,S,20,20
136,2021-05-10,2,13,2,T,1,3
137,2021-05-10,2,13,3,S,20,20
138,2021-05-10,2,14,1,S,20,20
139,2021-05-10,2,14,2,T,20,60
140,2021-05-10,2,14,3,S,1,1
141,2021-05-10,2,15,1,S,7,7
142,2021-05-10,2,15,2,S,7,7
143,2021-05-10,2,15,3,S,19,19
144,2021-05-10,2,16,1,S,20,20
145,2021-05-10,2,16,2,S,5,5
146,2021-05-10,2,16,3,T,20,60
147,2021-05-10,2,17,1,S,1,1
148,2021-05-10,2,17,2,S,20,20
149,2021-05-10,2,17,3,D,5,10
150,2021-05-10,2,18,1,S,7,7
151,2021-05-10,2,18,2,S,16,16
152,2021-05-10,2,18,3,S,19,19
153,2021-05-10,2,19,1,S,20,20
154,2021-05-10,2,19,2,S,5,5
155,2021-05-10,2,19,3,S,20,20
156,2021-05-10,2,20,1,S,20,20
157,2021-05-10,2,20,2,D,20,40
158,2021-05-10,2,20,3,D,1,2
159,2021-05-10,2,21,1,S,7,7
160,2021-05-10,2,21,2,T,19,57
161,2021-05-10,2,21,3,S,7,7
162,2021-05-10,2,22,1,S,18,18
163,2021-05-10,2,22,2,T,5,15
164,2021-05-10,2,22,3,S,20,20
165,2021-05-10,2,23,1,S,19,19
166,2021-05-10,2,23,2,T,19,57
167,2021-05-10,2,23,3,D,7,14
168,2021-05-10,2,24,1,T,20,60
169,2021-05-10,2,24,2,S,5,5
170,2021-05-10,2,24,3,S,1,1
171,2021-05-10,2,25,1,S,20,20
172,2021-05-10,2,25,2,S,5,5
173,2021-05-10,2,25,3,S,20,20
174,2021-05-10,2,26,1,S,20,20
175,2021-05-10,2,26,2,S,20,20
176,2021-05-10,2,26,3,S,20,20
177,2021-05-10,2,27,1,S,20,20
